,Paylaþým
370,Erkeklerden de urasý hayrettini ve doðaný tanýyorum sadece
371,Finalde Acun Ilýcalý yý unutmayýp yarý siyah tiþört giyen koca yürekli Orkun 
372,yarýþmaya gidecek olursam ilerde tek isteðim elanur ve öyküden biraz hýzlý olmak elanur aþko atýþlarýn mükemmel ama bitiricilik yok
373,Sýrf bu þerefsiz evlatlarý var diye sosyal medyanýn kökten kapatýlmasý taraftarýyým.
374,Arkadaþlar farkýnda mýsýnýz tek amacýmýz barýþýn þampiyon olmasý ve herkes onun için açtý sayfalarýný
375,Panoromalarda en iyilerden bahsedilirken sürekli Cemal Can dan bahsedilmesi týrnaklarýyla kazýyarak yaptý bu baþarýyý
376,Spoiler Veriyorum
377,Cemal Cana sistematik olarak tanýdýk arkadaþlarýna söyleyip  olumsuz haberler yaptýranlar oluyor
378,Hakanýn bunlarý söylerken yüzüne bakýn nasýl kuduruyor icten ice barýþý kýskanmaktan ne dedigini bilmiyor
379,143 iq' lu Nisa Bölükbaþý' nýn kanalýna yüklediði videoya bakar mýsýnýz? Lütfen biri iq' mu düþürsün lütfen
380,Her þeye raðmen en önemlisi nezaket ve centilmenlik
381,sayýn hakan hatipoðluna þöyle cevap vermek istiyoruz
382,Herkes konusur ama önemli olan icraat
383,Of Nisa yaaa avokadoyu niye býrakmadýn :( çocuk sen klinikteyken bile ona sarýlýp uyumuþtu :((
384,Seviyorum seni babakommmm
385,Barýþ fanlarý çok cahil maalesef. Geneli eðitimsiz kesim.
386,BU ÇOCUKTAN FÝNALLERÝ ALMAK ÖYLE KOLAY DEÐÝL!
387,Kaptan Cemal Can 4/5 yaparak takýmýna son sayýsýný da getiriyor
388,Kaptanlýk oyununda cemalin berkaný almak için hadi Barýþ en iyi süreyi yap demesini bi tek ben farketmedim heralde
389,Bu exatlonda niye hep ayný eþleþmeler oluyor?
390,"Barýþ Anadolu Efes'te basket oynamýþ, basketbol oyununda ilk tur Ersin'i seçiyor. Söyleyeceklerim bu kadar."
391,Mert'i benim hesabýmda 87 kiþi takip ediyor. Size diyecek en ufak lafým bile yok. Yazýklar olsun vallahi 
392,Final günü bmy kimseye oy kaydirmak yok tek geldik tek gidmemiz lazim 9 gün kaldi þurda
393,ÞAMPÝYON OLACAKSIN KARAKARTAL 
394,ellerine saðlýk
395,bunu yazman çok komik durmuþ sanki bilmiyorsun
396,halkýmýz salak deðil
397,"Kýskanç, vasýfsýz, kendini bi bok sanan semihi bi fotoðrafla size anlatýyorum"
398,su bolumleri adem ve havvadan baslatmayi birakir misiniz
399,"algý krallarý, paralý köpekler... tiksiniyorum sizden sahtesiniz sahte"
400,video temsilidir lütfen yanlýþ yerlere çekmeyin söyledikleri bu haftanýn özeti olduðu için
401,Ben böyle biþey görmedim ya. Geçmiþ olsun
402,Barýþ'a þuan inanýlmaz bir destek var
403,Dün ki bölümü tekrar izledim birkaç yer çok kafama takýldý siz ne düþünüyorsunuz bilmiyorum ama benim düþüncem þu yönde
404,"Eðer Cemal Caný da kastediyorsa, neden gidip yanýna oturup dertleþiyor ?"
405,Çünkü kendisi ikiyüzlü
406,Kim yazdýysa gerçekleri gören biri valla helal olsun
407,Çok mutlu oldum oðlum benim mesajýmý aldý okudu çok sevindim
408,Yeni þarký çýkmýþ izlemeyen piþman oluyor
409,"Final yaklaþýrken malum kitlenin, malum þahýslarýn çirkin algý oyunlarýný bu þekilde izliyoruz"
410,Bu profil semih Öztürk için açýlan ilk ve OFFÝCÝAL anti sayfasýdýr.
411,Geliþmeler saygý çerçevesi altýnda sizlerle paylaþýlacak
412,ilahi adalet yerini bulacak algýlar kötü niyetler art niyetler su yüzüne çýkacak
413,siz bu kadar iðrenç kuduruk böylesine aciz saygýsýz ve bu kadar kötü niyetli oldukça kýçýnýzý tekmeleyeceðiz
414, Þimdi de anladýk ki oyun sunmak her baba yiðidin harcý deðilmiþ .
415,Kafanýzýn içinde beyin yerine bok var
416,"mal aq, iyi ki elendin, kezban"
417,dünyaya trol olarak geldiðini kanýtlayan anlar
418,Arkadaþýmý göndermeye kalkan kiþi benim arkadaþým olamaz abi
419,Turabiyi sevmem ama söylemi çok doðru
420,Ceyhun abinin kýzý kanserden öldüðü için tüm Türkiye çokk üzülmüþ
421,Sizler unuta bilirsiniz ben unutmam.
422,"Arkadaslar, siz gerizekalý mýsýnýz?"
423,felaket bi þeysin
424,Yüzleþmeye az kaldý þurada. Vakit buldukça eski bölümleri izleyip dikkatimi çeken yerleri kaydediyorum
425,Bunlarýn dýþýndakiler çöp
426,kolay yetiþmiyor aga varlýðý olay yokluðu koyar
427,ilk defa bu kadar sanatçý ruhlu biri geldi
428,sinirlerim bozuldu alýn sizin de bozulsun
429,ananý sikeyim o zaman
430,Orospu çocuðu 
431,ananý sikeyim
432,vatan haini
433,sülaleni sikeyim
434,alman köpeði
435,gizli hesaplara bakma uygulamasýný bulan kiþi ananý sikeyim
436,sinek kere ananý sikeyim senin
437,Senin ben ananý sikeyim umarým boðazýný keserler
438,kafaný keseceðim senin
439,Ananý sikeyim senin orospu evladý
440,anasýný sikeyim senin gibi adamýn
441,Yýkýl samsun enkazýný göreyim sana memleket diyenin anasýný avradýný sikeyim
442,bizi bu hallere düþüren herkesin anasýný avradýný sikeyim
443,böyle günün anasýný sikeyim
444,Emeði geçen herkesin anasini sikeyim
445,senin kafaný keserim hýyar
446,Senin kafaný keserim ara beni
447,puþt herif
448,ya biz kime ne anlatýyoruz amýna koyim
449,"Her alkol alana, küfredene günah diyenler þöyle bi siktirsin gitsin, kendi sevabýnýzdan çok milletin günahýný düþünür olmuþsunuz amýna koyim"
450,kapatacaksanýz Tiktok'u kapatýn amýna koyim 
451,Öyle mi olmuþ býrakýn öyle kalsýn düzeltenin amýna koyim
452,"ALLAH belaný versin, Psikopat, Ruh hastasý"
453,Senin Allah versin belani bee
454,"Bana ""Salak"" dedikten 2 dakika sonra ""Salak Oðlu Salak"" olduðunu ancak fark etti"
455,gerizekali amciklar sizce kralicemizin cembari bilmeme ihtimali var mi
456,Bu tagý hangi gerizekalý açmýþ
457,ben artik 40 yas ustu geri kafali+ota boka karisan+ gerizekali+cahil oc insanlarla muhatap olmak istemiyorum
458,onun adýný kullanamazsýnýz gerizekalý mahlukatlar.
459,Siktir lan gerizekalý sen kimsin aq
460,Madem site kapatiliyo burdan bütün akrabalarimin aminakoyim gerizekâlý mahlukatlar
461,"Gerizekalý, ruh hastasý , sakak beyinsiz "
462,Korkunç! Savunmasý yine ayný beni tehdit etti. Beni karalamak için yapýldý. Ya bi siktir git ya
463,twitter da destekliyor siktir git hadi siteden
464,Ya bir siktir git amk
465,Siktir ol git bu takýmdan aptal orspu cocugu
466,siktir git o zaman
467,Hadi þimdi siktir git
468,siktir git salak salak konuþma amk
469,belhanda'nýn pas istediði pozisyona bak aq siktir git þu takýmdan sikik
470,Gelen bildirime bak siktir git lan
471,Lan bi siktir git yalanýnda böylesii
472,Sen yalancý hain bir insansýn
473,Ya gene çýktý bu karþýma bi siktir git amk sülüðü ne yapýþkan çýktýn ya
474,Niye bu kadar güzel olmak zorundasýn
475,hangimiz daha güzel
476,kýz sen ne güzel ne güzel gülüyorsun
477,Prenses ev arýyo
478,pilates yapmiyo muydu bu kadýn çok iyi oyuncu filan yazmýslar
479,Ne abarttýnýz þu tipsizi ya
480,Eminim burda duyar kasanlarýn hepsi simdi deli gibi surviyor ve dizi izliyor
481,Gündemde bir numara.Bu sosyal medya gerçekten saçmalamaya baþladý.
482,oha akýnýn dudaklarý varmýþ kdkdkdkdkdkd hemde dolgun 
483,durmaksýnýz sürerken ögrenciler olarak isteklerimiz haklarýmýzýn verilmesi
484,"Ýnternet hýzým, kameramýn beni algýlamamasý veya sýnav süremin kýsalmasý benim suçum deðil."
485,witwiser yüzünden maðduruz
486,Bu itülülerin þýmarýklýklarýndan býkanlar
487,yaþadýðýmýz problemlerini çevremdekilere anlatýyorum kendi baþarýsýzlýðýma kýlýf uyduruyormusum gibi davranýyorlar
488,"Amacý belli olamayan bi eklenti, amatörce düzenlenmiþ ve maðduriyete odaklý sýnav sistemi"
489,Ne hayallerle geldiðimiz ÝTÜde bunlarý yaþadýðýmýza inanamýyorum. Çözümünüz çözüm deðil öðrenciyi maðdur etmek!
490,Online sýnav yapýlmasý aþýrý saçma. Trakya Üniversitesi ödev sistemi uyguladý bize ve zor olsa da ben bundan çok memnunuz
491,sýnav sürem eksik baþladým sorularý görmediðim halde
492,Vizesinden yüksek not alýp iyi bir notla geçme ihtimalimin yüksek olduðu ve finaline çalýþtýðým dersin sýnavý
493,"eskiden sýnavý yapabilecek miyim diye stres olurdum, artýk sýnava girebilecek miyim diye. Teþekkürler"
494,Okulumuzda online sýnavda yaþanan maðduriyetlere gün gün tanýklýk ediyoruz
495,Ya þaka yapýyoruz falan ama ben bugün arkadaþýma SINAVA GÝREBÝLDÝN MÝ diye soru sormak zorunda kaldým ya. Bu nedir ya?
496,Bu yaþananlar ÝTÜ' nün 2013 mezuniyetinden belliydi o gün rektöre sýrtýný dönen tüm arkadaþlarýma selam olsun.
497,uzun uzun yazmak anlamsýz gelmeye baþladý zaten dikkate almýyosunuz
498,Geek dedelerimiz bile duydu sesimizi ama daha siz duymadýnýz!
499,Verilerimiz yurtdýþýnda depolanýyor
500,Sýnava girmek için can atan öðrenciler ama buna izin vermeyen bir sistem dünyada örneði yoktur
501,"Sosyal Medyada iyi küfreden/hakaret eden deðil """"Algýyý iyi yöneten"""" kazanýr."
502,Sýnava girebildin mi 
503,Keþke sadece sýnavý rezillik olsa; öðrenciye it muamelesi yapýlýyor. Övünebildikleri tek þey de yeþil kampüs.
504,güz dönemi uzaktan eðitim olmasýn lütfen. bu rezilliði kaldýracak ne enerjim ne de motivasyonum kaldý
505,bizler salatada salyangoz yerken sizler doða kolejini satýn aldýnýz.
506,Bütün okul sýnav derdinde bizimki de arada doðum gününü kutlatmaya çalýþýyor
507,Siz anlayana kadar biz anlatmaya ve belgelemeye devam edeceðiz. Bu sistem hukuksuz!
508, Heralde tt olmak rektörün hoþuna gitti reklamýn iyisi kötüsü olmaz vur kýrbacý öðrenciye
509,Bu süreçte kiminin ailesinden virüs kapan oldu 
510,Kiminin anne babasý iþsiz kaldý iflas etti
511,"O kadar uyarý yapýldý hala aksiyon alýnmadý, pandemi dönemindeki en kötü final dönemi budur. Tebrikler. "
512,Sayenizde sýnavý geçmeyi deðil sýnava girebilmeyi dert edinir olduk
513,Vereceðiniz bir cevabýnýz da kalmadý mý ?
514,"Rektörümüzün, uyarýlara kopya göndermesi ile geçiþtirdiði uygulama!"
515,Kimya sýnavýna girebildim lakin kimyanýn babasý Cabir Bin Hayyan gelse 1 saatte o 15 soruyu çözemezdi
516,Daha önce yaptýðým testte bu seçenek yoktu. 
517,FÝNAL var diye geldik ama REZALETTEN baþka bir þey yok
518,Sýnava girebilmek istemek diye bi talep olabilir mi çýldýrýyorum ya 
519,Bizi periþan etmekle kalmadýnýz kendinizi de rezil ettiniz. Bir çýnar olan þu okulun itibarý ne halde bir bakýn!
520,"90,Sizin kepaze sistemleriniz yüzünden bursum kesilirse medde kendimi yakarým"
521,"bir iki tane engellemeyi unuttuðum ortalýk orospusunun evlâdý gelip zamlara arka çýkmýþ, motivasyonu da saðlýðýmýzmýþ. sizin o aðzýnýzý sikeyim ben siz insan deðilsiniz siz bakteri bile deðilsiniz."
522,sana noluyo orospu evladý kürt terörist bizim ülkemiz sizinmi amk cocuklarý
523,Ardaya hayýr diyenlerin hiç bir mantýklý açýklamasý yok. Arda Turan Gs ve Türk futbol tarihinin en önemli 3-5 futbolcusundan biridir... Gelir Aslan gibi oynar kimse merak etmesin
524,Zýkkým iç
525,Pipetle biramý içilir bilmem ne demiþ bazý kör topallar sizene mk isterse kaþýkla içer ayrýca pipetle bira içerseniz kafanýz x2 daha güzel olur
526,"Tanrý yoktur, ÝNANMA, milleti Rahatsýz etme."
527,"Müslüman isen, Allahýn haram ettiði içeceði reklam etmekle kastýnýz nedir ? 
Deðilseniz cevap vermenize gerek yok"
528,"45 çocuða Ensar Vakfýnda tecavüz edilirken bir kereden bir þey olmaz diyenler, bugün toplumsal deðerlerden bahsedemezler!
"
529,Siz þaka mýsýnýz? Telefon flaþý kadar parlakligi kaldý ülkenin.. 45 çocuða tecavüz edilirken ahlaki ve manevi degerleriniz bozulmuyor da Mabel dinleyince mi bozuluyor? Siz þaka mýsýnýz? Ösym sorularýný zamanýnda satarken ahlaki deðerleriniz nerdeydi?
530,"Para kaybetmemek için boþanýp sonra biriyle ayný evde yaþamadý, aðlayýp para dilemedi, gerektiðinde toplum için muhalif duruþu olup  kafayý kuma sokmadý. Tecavüz, þiddete vb sorunlara susmadý. O yüzden Mabel Matiz deðerdir! Soytarýlýk deðer deðildir!"
531,"Kendi televizyonlarýnda ""12-17 yaþýndaki çocukla evlenilir, vücudu kusursuzdur"" diyen profesör, ""Listem hazýr, bizim aile 50 kiþiyi götürür"" diyen kadýn ahlak bozmuyor da. Mabel Matiz'in Þeyh Galip ve Neþet Ertaþ'dan bahseden sorusu ahlak mý bozuyor?"
532,Mabel Matiz'in Kýbrýs Gazisi babasý Ali Karaca. Çok güzel evlat yetiþtirmiþsin Ali amca.
533,Mabel Matiz deðerlerimizi ve kültürümüzü emin olun ki sanatçý diye nitelendirdiðiniz herkesten çok daha iyi yansýtýyor. Asýl sanatçý o! Bu ülkenin en kaliteli sanatçýsý o
534,"Mabel Matiz in cinsel tercihi deðil kafasýnýn içindekiler ve bize aktardýklarý önemli. 
Sýnavda çýkan soru da nefisti.
Zira Zeki Müren de bu ülkenin en büyük deðerlerindendi."
535,Mabel Matiz Bu ülkenin bahçesinde açan en renkli çiçektir bundandýr bu kadar koparýlmak harcanýlmak istenmesi.
536,"Sabahlarý, milli deðerlerimize uygun þarkýlar söyleyen ve klipler çeken Demet Akalýn'ý dinlemeden güne baþlayamýyorum."
537,"2012 den beri yanýndayým, hep de öyle olucak... Yüzündeki gülümseme eksik olmasýn caným çocuk. Hayatýmý gökkuþaðý gibi renkli yaptýn sana minnettarým... Hiçbir zaman yalnýz deðilsin olmucaksýn YANINDAYIZ.."
538,Mabel Matiz son yýllarýn en iyi sanatçýlarýndan biri kaliteli müzik kliplerini ve þarkýlarýný yapýp sanatýný konuþturuyor meyve veren aðacý taþlayamazsýnýz  
539,"Kliplerinde milli deðerlerimize her defasýnda yer veren, gerçek bir sanatçý ve Mabel'in olduðu gibi hiç kimsenin hayatýný sorgulamak kimsenin haddine deðildir!!!"
540,Her klibinde buram buram kalite ve Anadolu kokan Mabel Matize saygýsýzlýk yapmak kimsenin haddine deðildir.
541,Bir insaný eþcinsel diye onlar yokmuþ gibi yaþayamazsýnýz . Homofobi benim milli deðerimin parçasý deðil . Kimsenin de olmayana kadar susmayacaðým .insanlarý hoslandigi kisilere gore yargýlayamazsýnýz . Lütfen kendinizi egitin .
542,TC Kültür Ve Turizm Bakanlýðýnýn Adýyamana Yapamadýðý Tanýtýmý Mabel Matiz Tek Klibinde Bütün Güzellikleri Ýle Ortaya Koydu Teþekkür Edeceðinize Saldýrýyorsunuz
543,Saray þakþakçýsý olmak gerekiyor sanýrým amkduklarým 
544,oðun destek ve sevgi mesajlarýnýzý içim büyüyerek okuyor ve kabul ediyorum. Bugüne dek müziðimle anlatmak istediðim þeyin ne kadar iyi anlaþýldýðýný yine sizin yazdýklarýnýzdan anlýyor ve daha da güçlü hissediyorum.
545,"Gurur Kaynaðý. Þarkýlarýyla,sesiyle,müziði ve klipleriyle özgün ve buram buram Anadolu kokan deðerin her zaman yanýndayýz,olmaya da devaaaam edeceðiz."
546,Keþke izlemeseydim. Ýnsanlarýn bu þekilde saçma sapan düþünüyor olmalarý üzücü
547,Daha toplama yapmayý bile doðru düzgün bilmeyen çocuklarý o sorudan bu dediklerini mi çýkaracak býrakýn ya
548,Mabel Matiz yalvarmis mi beni konu edinin diye.... Kendilerine soruþturma açsýnlar sonra hep birlikte istifa etsinler ulkece rahatlayalim
549,Soru okuyup anlama becerisine yönelik muhakeme yeteneði olmayanlarý baþka nasýl sorularla eleyecekler. Her soru ezbere bilgiye dayanmasý daha kötü olacaðýný düþünemeyecek kadar bilinçsizler
550,Ne demek psikolojileri bozuluyor ya adamýn özel hayatý kimseyi ilgilendirmez soruda yaptýðý sanatýndan bahsediyor ne geri kafalý bi toplum ya
551,Ýki lafý bi araya getirip düzgün cümle kuramayanlar soruyu görmeden gerçi görse de anlayabilecek kapasitede olmayan þuursuzlar topluluðu sorunun iptal edilmesini istiyor.Çok garip bi ahlak anlayýþlarý var her fýrsatta bozuluyor nedense taciz tecavüzde sus pus
552,"Sanki Mabel Matize sormuþlar soruyu hazýrlarken, þimdi de hakkýnda araþtýrma yapacaðýz diyorlar. Ve bahsi geçen soru da Mabel Matizin kiþiler hayatýyla ilgili deðildi. Çocuklarýmýzýn psikolojisini bozarmýþ? Türkiye gibi bir ülkede yaþýyoruz, çoktan bozulmuþtur o psikoloji."
553,Kansizlar...kuran kursu ve yatýlý okullarda çocuklara tecavüz ettiler..sesiniz çýktýmý??bakan cýktý bide utanmadan bi kereden bisey olmaz dedi..o zaman d böyle konuþtunuz mu? Midem bulaniyor pisliginizden cahilliginizden yandasliginizdan
554,"Daha iki lafý bir araya getiremiyorlar, birde eleþtiriyorlar kendilerince. Çok komikler ya."
555,"Bunca yýl mabel matiz dinle, adamýn eþcinsel olduðunu þu anda öðren. Demek ki bazý þeyler insanýn gözüne sokup, mide bulandýrmadan da yaþanabiliyormuþ!"
556,Allahým bunlar ve bunlarýn çocuklarý kazanamasýn inþallah. Eðitim sarfiyatý olur.
557,Bu gerzekler 9 yaþýnda bir çocuðukla evliliði savunup manevi deðerler adý altýnda sapýklýklarýný yaþamak istedikleri hayatý yaþayanlara saldýrýr. Bunlar amip kadar faydasý olmayan canlýlar
558,"ya ablacým bi siktir git þu söylediðin þeylere kendini nasýl inandýrýyor sen ve senin gibiler anlamýyorum... bilinçaltýymýs,ulan sizde zaten saðlýklý bir düþünce,algý yapýsý olsaydý böyle seyler düþünmezdiniz.. bitseniz de kurtulsak."
559,Bunlarla ayný havayi solumakm görüþ siyadet o bu su degil mesele. Herkesin görüþü kendine. Ama bir düþman var ki adý cehalet buram buram sarýyor ülkeyý
560,7 yaþýnda teyze olurum / Aklýma Kürt olmadýðým gelir
561,Lan bu nasýl tag aq cocuklarý..bian gecmisi silmeyi unuttum sandým
562,sabah sabah siktirin gidin ya
563,"LAN onun bunun çocuklarý! burayý SALI PAZARINA ,döndürmüþsünüz. dometes, þeftali,patlýcan ne ararsan var! hepinizin amk"
564,Geçmiþi silmeyi unuttum zannettim amcýklar bu nasýl tag
565,Allah belanýzý versin ne diyeyim yine gündem ettiniz þunu
566,Bunu acanýn amk
567,bu nasýl tag amk insta bot mesajlarý gibi
568,þu tagý mizah için kullanmayýn artýk orospu cocuklarý videolar kayboluyo 
569,buralarda porno yuvasýna döndü amk uygunsuz içerik diye kapatacaklar göt gibi kalýcaz
570,Ciddi arkadaslik için dm Azdim
571,Utanmýyorum haykýrýyorum ben bir 31ciyim
572,Eeee o zaman ifsalanalim bakaliiim  19 yaþ Ýstanbuldan pasifim Ýlkim olacak sert full aktifler dm
573,aryaya þimdi sahip çýkmayalar öldükten sonra sadece kýnayacaklar ve bu asla deðiþmeyecek öldükten sonra gündeme getirmek moda bu ülkede
574,"Gerçekten Türkiyede yaþadýðým için çok utanýyorum. 17 yaþýndaki bir kýz tehdit ediliyor, elinde bahsi geçen suçlamalarýn tonla kanýtý var ve o kaný bozuk için yeterli delil olmadýðý söyleniyor. Kendi Instagram hesabýndan ses kayýtlarýný ve ss leri atmýþ."
575,"Devletin ve polislerin yaptýðý ihmalkarlýklar yüzünden daha bulunamayan þahýs belki kýzýmý takip ediyor, belki de takýldýðý yerlerde kýzýmý gözetliyor. Daha yüzünü bile görmediðimiz için diken üzerinde þahsýn bulunmasýný bekliyoruz"
576,öldürülmekle tehtid edilen kýzýmýz mabel matiz denen þahýs kadar konuþulmuyor. çok boktan bi ülkeyiz
